smiles,lgHL
Clc1ccc(cc1)c1cc(Cl)c(cc1Cl)Cl,3.93
CC1CCCC(N1CCCC(c1ccccn1)(c1ccccc1)O)C,0.924
COc1cc(Cc2cnc(nc2N)N)cc(c1OC)OC,0.982
Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)n1c(=O)[nH]c2c1cccc2,0.349
O=C(c1cnoc1C)Nc1ccc(cc1)C(F)(F)F,2.53
C1CCC(NC1)CC(C1CCCCC1)C1CCCCC1,1.98
O=C(NS(=O)(=O)c1ccc(cc1)C(=O)C)NC1CCCCC1,0.114
CCC1(NC(=O)N(C1=O)C)c1ccccc1,0.845
CCN1C(=O)NC(C1=O)c1ccccc1,0.778
CN(NN=C1N=CN=C1C(=O)N)C,0.792
CCOC(=O)CNC(C(=O)N1CCC1C(=O)NCc1ccc(cc1)C(=NO)N)C1CCCCC1,0.602
OC(=O)CNC(C(=O)N1CCC1C(=O)NCc1ccc(cc1)C(=N)N)C1CCCCC1,0.204
OCC1OC(O)C(C(C1O)O)NC(=O)N(N=O)C,-0.778
Clc1ccc2c(c1)C(=NCC(=O)N2CC1CC1)c1ccccc1,2.07
CON=C(c1csc(n1)N)C(=O)NC1C(=O)N2C1SCC(=C2C(=O)O)CSc1nc(c(s1)CC(=O)O)C,0.623
Cc1ccc(cc1)N(c1cccc(c1)O)CC1=NCCN1,-0.499
CN(Cc1cccc2c1cccc2)Cc1ccc(cc1)C(C)(C)C,2.18
CCC(=O)OC(c1ccccc1)(C(CN(C)C)C)Cc1ccccc1,1.26
COc1ccc2c3c1OC1C3(CCN(C2)C)C=CC(C1)O,0.724
CNCCC(c1cccs1)Oc1cccc2c1cccc2,1.08
CN=C1CN(O)C(=c2c(=N1)ccc(c2)Cl)c1ccccc1,0.919
OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F,0.398
CCC(C(=O)OC1CC(C)C=C2C1C(CCC1CC(O)CC(=O)O1)C(C=C2)C)(C)C,0.477
CCC(C(=O)OC1CC(C)C=C2C1C(CCC1CC(O)CC(=O)O1)C(C=C2)C)C,0.724
CCOC(=O)C(NC(C(=O)N1C2CCCCC2CC1C(=O)O)C)CCc1ccccc1,0.778
Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2,0.505
Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2O,1.36
c1scc(n1)c1nc2c([nH]1)cccc2,0.0792
OCCn1c(C)ncc1N(=O)=O,0.851
CCS(=O)(=O)CCn1c(C)ncc1N(=O)=O,1.11
CCCCOc1ccc(cc1)C(=O)CCN1CCCCC1,-0.125
Nc1nc(N)c2c(n1)nc(c(n2)c1ccccc1)N,0.633
CC#CC1(O)CCC2C1(C)CC(c1ccc(cc1)N(C)C)C1=C3CCC(=O)C=C3CCC21,1.26
O=C(NC1C(=O)N2C1SC(C2C(=O)O)(C)C)COc1ccccc1,-0.0757
CC(C(=O)NC1C(=O)N2C1SC(C2C(=O)O)(C)C)Oc1ccccc1,-0.041
CC(=O)OCC1=C(N2C(SC1)C(C2=O)NC(=O)CC#N)C(=O)O,0.0792
O=C1CN=C(c2c(N1)ccc(c2)Br)c1ccccn1,1.32
Clc1ccccc1CN1CCc2c(C1)ccs2,2.0
COC(=O)C(c1ccccc1Cl)N1CCc2c(C1)ccs2,0.903
COc1c(OC)c(OC)cc2c1nc(nc2N)N1CCN(CC1)C(=O)OCC(O)(C)C,0.491
O=C1C(CCc2c1c1ccccc1n2C)Cn1ccnc1C,0.531
Clc1ccc(cc1)c1c(C)c(nn1c1ccc(cc1Cl)Cl)C(=O)NN1CCCCC1,2.42
O=C1C=CC2(C(N1)CCC1C2CCC2(C1CCC2C(=O)Nc1cc(ccc1C(F)(F)F)C(F)(F)F)C)C,2.92
Nc1ccn(c(=O)n1)C1COC(O1)CO,1.91
CN(Cc1cccc2c1cccc2)CC=Cc1ccccc1,1.78
Oc1ccc(cc1)C1CNCCc2c1cc(O)c(c2Cl)O,-1.08
CN1CCc2c3C1Cc1ccc(c(c1c3ccc2)O)O,-0.167
CCC1C(=O)OCC1Cc1cncn1C,-0.119
O=C1CCC2(C(=C1)C1CC1C1C2CCC2(C1C1CC1C12CCC(=O)O1)C)C,1.48
O=C1CCc2c(N1)cc(cc2)OCCCCN1CCN(CC1)c1cccc(c1Cl)Cl,1.88
O=C1CCC2(C(=C1)C(=CC1C2CCC2(C1CCC2(O)C(=O)C)C)C)C,1.53
O=C1CCC2(C(=C1)C=CC1C2CCC2(C1CCC2C(=O)C)C)C,0.778
CC1(CC)CC(=O)NC1=O,1.72
O=C1NC(=O)N(C1)N=Cc1ccc(o1)N(=O)=O,-0.0132
COc1ccccc1N1CCN(CC1)CCCNc1cc(=O)n(c(=O)n1C)C,0.544
