,smiles,lgHL
228,CC(=O)OCC1=C(C(=O)O)N2C(SC1)C(C2=O)NC(=O)Cc1cccs1,-0.0223
229,ClCCNC(=O)N(CCCl)N=O,-0.432
230,NC1CC1c1ccccc1,0.792
231,CN(C(Cc1ccccc1)C)Cc1ccccc1,1.37
232,ClC=CCl,-0.523
233,NC(=O)N1c2ccccc2C=Cc2c1cccc2,1.65
234,COc1c2oc(=O)ccc2cc2c1occ2,0.301
235,CC(Cc1ccccc1)N,0.863
236,N#CC(c1ccccc1)(c1ccccc1)CCN1CCC(CC1)(N1CCCCC1)C(=O)N,0.903
237,CN(CCCN1c2ccccc2CCc2c1cc(Cl)cc2)C,1.41
238,CN(CCC=C1c2ccccc2C=Cc2c1cccc2)C,1.26
239,CN(CCCN1c2ccccc2CCc2c1ccc(c2)O)C,1
240,SC(C(C(=O)O)S)C(=O)O,1.68
241,ClCCN(c1ccc(cc1)CCCC(=O)O)CCCl,0.0414
242,OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,2.68
243,CCN1CC(C(C1=O)(c1ccccc1)c1ccccc1)CCN1CCOCC1,0.613
244,OCC1OC(C(C1O)O)n1cnc(nc1=O)N,-0.444
245,Nc1c2CCCCc2nc2c1cccc2,0.519
246,OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,4.68
247,COCCOc1cnc(nc1)NS(=O)(=O)c1ccccc1,0.602
248,FC(C(C(C(C(C(S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,4.81
249,COc1ccc2c3c1OC1C3(CCN(C2)C)C=CC(C1)O,0.724
250,CC(=CCN1CCC2(C(C1Cc1c2cc(cc1)O)C)C)C,0.398
251,CCN(CCNC(=O)c1cc(Cl)c(cc1OC)N)CC,0.857
252,Clc1ccc2c(c1)S(=O)(=O)N=C(N2)C,1.68
253,CCn1cc(C(=O)O)c(=O)c2c1nc(C)cc2,0.255
254,Nc1nc(N)c2c(n1)nc(c(n2)c1ccccc1)N,0.633
255,CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,0.477
256,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,1.62
257,OCCn1c(C)ncc1N(=O)=O,0.851
258,Cn1cnc(c1Sc1ncnc2c1[nH]cn2)N(=O)=O,0.699
259,CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N,0.602
260,CC(Cc1ccc(cc1)Cl)(N)C,1.6
261,CN(CCOC(c1ccccn1)(c1ccccc1)C)C,1
262,CCC(=O)OC(c1ccccc1)(C(CN(C)C)C)Cc1ccccc1,1.26
263,CCC(=O)C1(CCN(CC1)C)c1cccc(c1)O,0.362
264,COc1cc(cc(c1OC)OC)C1C2C(=O)OCC2C(c2c1cc1OCOc1c2)O,0.439
265,OCC(Cn1cnc2c1c(=O)n(C)c(=O)n2C)O,0.23
266,Cc1ccc(cc1)C(=CCN1CCCC1)c1ccccn1,0.699
267,CN(CCOC(c1ccccn1)c1ccc(cc1)Cl)C,1.18
268,O=C1CCC(N1C)c1cccnc1,1.23
269,OC(c1ccccc1)C(N)C,0.716
270,OC(C1CC2CC1C=C2)(c1ccccc1)CCN1CCCCC1,1.38
271,O=C1CCC2(C(=C1)C(C)CC1C2CCC2(C1CCC2(O)C(=O)C)C)C,1.32
272,OC(COc1cccc2c1cccc2)CNC(C)C,0.531
273,CCOC(=O)C1C(CC2N(C1CC2)C)OC(=O)c1ccccc1,0.176
274,COc1ccccc1OCC(COC(=O)N)O,0.0755
275,CC(OC(=O)c1ccccc1)CNC1CCCCC1,-0.778
276,Cc1ncsc1CCCl,0.653
277,CCc1nccc(c1)C(=S)N,0.398
278,CNC(Cc1ccccc1)C,1.08
279,CC(=O)NO,0.875
280,Oc1cc(C)c2c3c1C(=O)c1c(O)cc(c4c1c3c1c3c2c(C)cc(c3C(=O)c2c1c4c(O)cc2O)O)O,1.62
281,Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)n1c(=O)[nH]c2c1cccc2,0.349
282,Oc1ccccc1C(=O)Oc1ccccc1C(=O)O,0
283,CC(=O)N=c1sc(nn1C)S(=O)(=O)N,1.15
284,OC(=O)C(Cc1ccc(c(c1)O)O)(N)C,0.771
285,CC(=O)OC1C=CC2C34C1Oc1c4c(CC2N(CC3)C)ccc1OC(=O)C,0.398
286,Clc1ccc(cc1)C(c1ccccc1)N1CCN(CC1)Cc1cccc(c1)C,0.778
287,OC(c1cc(O)cc(c1)O)CNC(C)C,0.778
288,CCCCOc1ccc(cc1)C(=O)CCN1CCCCC1,-0.125
289,OC(=O)C1=CC(=NNc2ccc(cc2)S(=O)(=O)Nc2ccccn2)C=CC1=O,0.875
290,O=C1Nc2ccc(cc2C(=NC1O)c1ccccc1)Cl,0.826
291,SCC(C(=O)O)NC(=O)C,0.74
292,CC1N(C)CCOC1c1ccccc1,1.33
293,CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,1.3
294,OC(=O)c1ccccc1Nc1c(Cl)ccc(c1Cl)C,0.484
295,CN(c1nc(nc(n1)N(C)C)N(C)C)C,0.872
296,NC(=NCCN1CCCCCCC1)N,1.56
297,CN(C(=N)N=C(N)N)C,0.23
298,CNNCc1ccc(cc1)C(=O)NC(C)C,-0.778
299,Oc1ccc(cc1)CC(C(=O)O)(N)C,0.55
300,CCNCC(c1cccc(c1)O)O,0.342
301,CCCNC(C(=O)Nc1ccccc1C)C,0.255
302,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,0.991
303,COc1cc(Cc2cnc(nc2N)N)cc(c1OC)OC,0.982
304,CN(CC(CN1c2ccccc2CCc2c1cccc2)C)C,1.36
305,CCCCCC(C=CC1C(O)CC(=O)C1CCCCCCC(=O)O)O,-0.903
