smiles,lgHL
CCC1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)OC(=O)N1CCC(CC1)N1CCCCC1,0.954
CN(CCCN1c2ccccc2Sc2c1cccc2)C,0.898
OC(=O)COCCN1CCN(CC1)C(c1ccc(cc1)Cl)c1ccccc1,0.919
COc1ccc2c3c1OC1C3(CCN(C2)C)C=CC(C1)O,0.724
NCCCCNCCCNC1CCC2(C(C1)CC(C1C2CCC2(C1CCC2C(CCC(C(C)C)OS(=O)(=O)O)C)C)O)C,0.978
Clc1cc(Cl)c(c(c1)Cl)c1ccc(c(c1Cl)Cl)Cl,3.88
CN1CCCC(CC1)n1nc(Cc2ccc(cc2)Cl)c2c(c1=O)cccc2,1.34
Clc1cc(Cl)c(c(c1c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl)Cl,5.01
Clc1cc(Cl)c(c(c1)c1cccc(c1Cl)Cl)Cl,3.78
Cc1cccc(c1)C,1.52
OC(=O)C1CC(CN1C(=O)CP(=O)(CCCCc1ccccc1)O)C1CCCC1,0.973
CCCCCOC(=O)Nc1nc(=O)n(cc1F)C1OC(C(C1O)O)C,-0.125
CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(c(c1)Nc1nccc(n1)c1cccnc1)C,1.34
COc1c(N2CCNC(C2)C)c(F)cc2c1n(cc(c2=O)C(=O)O)C1CC1,1.0
O=c1[nH]cc(cc1N)c1ccncc1,0.301
Clc1cc(ccc1Cl)c1ccccc1Cl,1.97
Oc1ccccc1C(=O)Oc1ccccc1C(=O)O,0.0
COc1ccc(cc1OC)Cc1nccc2c1cc(OC)c(c2)OC,0.255
CCOC(=O)C1(CCN(CC1)CCC(c1ccccc1)(c1ccccc1)C#N)c1ccccc1,1.11
Clc1ccccc1c1cccc(c1Cl)Cl,2.7
O=C1OC2C(C1C)(O)C13C4(C2O)C(OC3=O)CC(C24C(O1)OC(=O)C2O)C(C)(C)C,0.716
CCC1C(=O)OCC1Cc1cncn1C,-0.119
Clc1ccc(cc1)c1cc(Cl)cc(c1Cl)Cl,3.23
COc1cc(cc(c1O)OC)C1C2C(=O)OCC2C(c2c1cc1OCOc1c2)OC1OC2COC(OC2C(C1O)O)c1cccs1,1.2
